NCSU Score,Opp Score,Order Scheduled,Count,Date,Opponent,Location,Field Name,Result,DELIM
0,0,23,1,10/26/1895,Charlotte Athletic Club,NC - Charlotte,Latta Park,T,:
0,0,39,2,11/10/1899,Guilford,NC - Raleigh,Fair Grounds (Raleigh),T,:
0,0,40,3,11/17/1899,Davidson,NC - Charlotte,Latta Park,T,:
0,0,63,4,10/6/1902,Furman,SC - Greenville,University Grounds,T,:
0,0,68,5,11/8/1902,North Carolina,NC - Raleigh,Fair Grounds (Raleigh),T,:
0,0,87,6,11/5/1904,South Carolina,NC - Raleigh,Fair Grounds (Raleigh),T,:
0,0,96,7,11/11/1905,North Carolina,NC - Raleigh,Fair Grounds (Raleigh),T,:
0,0,100,8,10/6/1906,Virginia,VA - Charlottesville,Lambeth Field,T,:
0,0,101,9,10/11/1906,Richmond,NC - Raleigh,Riddick Field,T,:
0,0,105,10,10/25/1906,Clemson,SC - Columbia,Old State Fair Grounds,T,:
0,0,135,11,10/8/1910,Georgetown,NC - Raleigh,Riddick Field,T,:
0,0,175,12,10/9/1915,Roanoke,NC - Raleigh,Riddick Field,T,:
0,0,182,13,9/27/1916,NC A&M Alumni,NC - Raleigh,Riddick Field,T,:
0,0,263,14,11/15/1924,Maryland,MD - College Park,"""Old"" Byrd Stadium",T,:
0,0,272,15,11/7/1925,Virginia Tech,VA - Blacksburg,Miles Field,T,:
0,0,337,16,10/14/1932,Wake Forest,NC - Raleigh,Riddick Field,T,:
0,0,346,17,10/14/1933,Florida,NC - Raleigh,Riddick Field,T,:
0,0,347,18,10/21/1933,Wake Forest,NC - Wake Forest,Gore Field,T,:
0,0,423,19,10/11/1941,Furman,SC - Greenville,Sirrine Stadium,T,:
0,0,431,20,9/19/1942,Davidson,NC - Wilmington,American Legion Stadium,T,:
0,0,435,21,10/17/1942,Wake Forest,NC - Raleigh,Riddick Field,T,:
0,0,487,22,11/29/1947,Maryland,MD - College Park,"""Old"" Byrd Stadium",T,:
0,0,488,23,9/25/1948,Duke,NC - Raleigh,Riddick Field,T,:
0,0,587,24,10/18/1957,Miami (FL),FL - Miami,Miami Orange Bowl,T,;
0,2,321,1,11/1/1930,Presbyterian,NC - Asheville,Memorial Stadium (Asheville),L,;
0,3,149,1,11/30/1911,Virginia Tech,VA - Norfolk,Lafayette Field,L,:
